Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.98.128-0.0.0.36-0-0-0,134.221.98.128,0,0.0.0.36,0,0,27-04-2022 08:13,82567109,8,1,0,0,0,0,0,0,0,0,0,0,0,0.109002242,1.03E+07,2.06E+07,6.06E+07,1305,7.49E+07,1.07E+07,2.22E+07,6.06E+07,1305,0,0,0,0,0,0,0,0,0,0,0,0.096890882,0.01211136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,-1,-1,0,0,4275265,0,4275265,4275265,2.55E+07,3.04E+07,6.06E+07,7714763,No Label
134.221.98.128-0.0.4.207-0-0-0,134.221.98.128,0,0.0.4.207,0,0,27-04-2022 08:13,81849852,7,1,0,0,0,0,0,0,0,0,0,0,0,0.097739945,1.17E+07,3.07E+07,8.13E+07,26538,8.17E+07,1.36E+07,3.32E+07,8.13E+07,26538,0,0,0,0,0,0,0,0,0,0,0,0.085522452,0.012217493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,562178,0,562178,562178,8.13E+07,0,8.13E+07,8.13E+07,No Label
134.221.98.128-0.0.1.198-0-0-0,134.221.98.128,0,0.0.1.198,0,0,27-04-2022 08:13,3052,1,1,0,0,0,0,0,0,0,0,0,0,0,655.3079948,3052,0,3052,3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.6539974,327.6539974,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.128-0.0.0.179-0-0-0,134.221.98.128,0,0.0.0.179,0,0,27-04-2022 08:13,1303335,1,1,0,0,0,0,0,0,0,0,0,0,0,1.534524892,1303335,0,1303335,1303335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767262446,0.767262446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.128-0.0.0.56-0-0-0,134.221.98.128,0,0.0.0.56,0,0,27-04-2022 08:13,104110338,1,1,0,0,0,0,0,0,0,0,0,0,0,0.019210388,1.04E+08,0,1.04E+08,1.04E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009605194,0.009605194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,1.04E+08,0,1.04E+08,1.04E+08,No Label
134.221.98.128-0.0.1.19-0-0-0,134.221.98.128,0,0.0.1.19,0,0,27-04-2022 08:13,2781464,1,1,0,0,0,0,0,0,0,0,0,0,0,0.719045797,2781464,0,2781464,2781464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359522899,0.359522899,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.128-0.0.0.55-0-0-0,134.221.98.128,0,0.0.0.55,0,0,27-04-2022 08:13,2540668,1,1,0,0,0,0,0,0,0,0,0,0,0,0.787194549,2540668,0,2540668,2540668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393597274,0.393597274,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.128-0.0.0.209-0-0-0,134.221.98.128,0,0.0.0.209,0,0,27-04-2022 08:13,15813,1,1,0,0,0,0,0,0,0,0,0,0,0,126.4782141,15813,0,15813,15813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.23910706,63.23910706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.98.128-0.0.0.107-0-0-0,134.221.98.128,0,0.0.0.107,0,0,27-04-2022 08:13,32258926,1,1,0,0,0,0,0,0,0,0,0,0,0,0.061998344,3.23E+07,0,3.23E+07,3.23E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030999172,0.030999172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,3.23E+07,0,3.23E+07,3.23E+07,No Label
134.221.98.128-0.0.1.128-0-0-0,134.221.98.128,0,0.0.1.128,0,0,27-04-2022 08:13,24474677,1,1,0,0,0,0,0,0,0,0,0,0,0,0.081717115,2.45E+07,0,2.45E+07,2.45E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040858558,0.040858558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,2.45E+07,0,2.45E+07,2.45E+07,No Label
